distance_metric,k,avg_f1_score,avg_top5_accuracy
euclidean,1,0.6427960256453784,0.8360279922779922
euclidean,2,0.6538019346858299,0.8915540540540542
euclidean,3,0.6931345302791883,0.9166505791505791
euclidean,4,0.7206503114173676,0.931877413127413
euclidean,5,0.7437147578438501,0.9426640926640927
euclidean,6,0.752257042225572,0.946243564993565
euclidean,7,0.7601598888466792,0.9525337837837838
euclidean,8,0.7660177337874754,0.9561132561132559
euclidean,9,0.7637539826028462,0.9570141570141569
euclidean,10,0.7735580942298703,0.9570222007722007
euclidean,11,0.7652801558588916,0.9606097168597169
euclidean,12,0.7700917956346182,0.9633043758043758
euclidean,13,0.7736734484472911,0.9632963320463321
euclidean,14,0.7755363874754038,0.9641891891891893
euclidean,15,0.7742688362673296,0.9641811454311455
cosine,1,0.6427960256453784,0.8360279922779922
cosine,2,0.6538019346858299,0.8915540540540542
cosine,3,0.6944800577288347,0.9166505791505791
cosine,4,0.7206503114173676,0.931877413127413
cosine,5,0.7444135092268119,0.9426640926640927
cosine,6,0.7529967292810484,0.946243564993565
cosine,7,0.7608507654818282,0.9525337837837838
cosine,8,0.7660235817406917,0.9561132561132559
cosine,9,0.7637539826028462,0.9570141570141569
cosine,10,0.7743789770821625,0.9570222007722007
cosine,11,0.7646539642802381,0.9606097168597169
cosine,12,0.7706420746442001,0.9633043758043758
cosine,13,0.775663195109963,0.9632963320463321
cosine,14,0.7767301958670506,0.9641891891891893
cosine,15,0.7754215710454514,0.9641811454311455
